Unnamed: 0,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice
532,6,6,1971,1971,302.0,1587,0,1587,2,0,3,7,1,2.0,525.0,0,44,167300
415,7,8,1937,1980,0.0,1262,1005,2267,1,1,3,7,2,2.0,498.0,521,0,219000
273,5,8,1950,2002,0.0,864,0,864,1,0,3,5,0,2.0,720.0,194,0,129000
1460,7,5,1996,1997,0.0,1306,954,2260,2,1,3,7,0,2.0,533.0,296,44,328000
250,8,7,1995,1995,466.0,1251,1250,2501,2,1,4,9,1,3.0,751.0,192,87,290000
413,6,7,1940,1950,0.0,944,545,1489,2,0,3,7,1,1.0,240.0,335,0,139500
1340,7,7,1900,1970,0.0,848,580,1428,1,0,4,7,0,2.0,576.0,264,0,139900
310,8,5,2002,2003,240.0,1786,0,1786,2,0,3,6,1,3.0,715.0,182,35,300000
1723,6,6,1975,1975,0.0,1096,0,1096,1,0,3,5,1,1.0,352.0,0,0,125200
585,7,5,1999,2000,212.0,624,628,1252,2,1,2,4,0,2.0,462.0,0,48,160000
425,7,7,1914,1970,0.0,880,888,1768,1,1,2,6,2,2.0,320.0,0,341,163000
1925,6,7,1981,1981,310.0,1440,0,1440,2,0,3,7,1,2.0,467.0,0,0,182900
1193,5,7,1948,2009,0.0,1027,606,1633,1,0,3,7,1,1.0,240.0,0,100,129000
1344,6,6,1975,1975,257.0,1210,0,1210,2,0,3,6,0,2.0,528.0,0,0,148000
1389,8,5,1995,1996,579.0,2053,1185,3238,2,1,4,9,1,3.0,666.0,283,86,410000
1749,6,5,1924,1950,0.0,1032,0,1032,1,0,2,5,0,1.0,280.0,0,0,108000
1659,5,8,1961,2007,0.0,864,0,864,1,0,3,5,1,1.0,420.0,132,0,135000
1487,5,8,1964,2001,50.0,1020,0,1020,2,0,3,5,1,2.0,528.0,0,0,165000
526,9,5,2005,2005,568.0,1868,0,1868,2,0,2,7,1,3.0,1085.0,354,56,415000
745,5,5,1948,1950,0.0,1687,0,1687,1,0,3,7,2,2.0,572.0,0,0,160000
1268,5,6,1966,1966,52.0,988,0,988,1,0,3,5,0,1.0,360.0,0,0,129250
182,5,6,1975,1975,0.0,1074,0,1074,1,1,3,6,0,2.0,495.0,0,88,153500
170,5,6,1954,1954,0.0,992,0,992,1,0,3,6,0,1.0,319.0,60,0,155891
588,7,6,1921,1950,0.0,902,808,1710,2,0,3,9,0,2.0,480.0,12,11,140000
614,5,7,1977,1977,51.0,1009,0,1009,2,0,3,6,1,2.0,576.0,0,0,160000
1927,5,5,2007,2008,0.0,1092,0,1092,1,0,2,5,0,0.0,0.0,0,52,146000
